generation,coin_parity,actual_mobility,potential_mobility,corners_captured,future_corners_captured,static_weights
0,0.18209807514667287,0.06297384405243459,0.2406972008578653,0.21864082887063468,0.2625432409826875,0.03304681008970504
0,0.2498550703155411,0.2454939871932752,0.04833335329815413,0.19984387603675374,0.030850658335527695,0.22562305482074807
0,0.050427710687210865,0.2526473924284299,0.2641168434676442,0.07469812804252235,0.043989539971855736,0.31412038540233705
0,0.09744486531289293,0.2093425345838549,0.09299401555508716,0.14521583176306166,0.21481663339613122,0.24018611938897202
0,0.25860267883231397,0.2693682178627563,0.2412790744892837,0.08665735936337432,0.07336560232504066,0.07072706712723117
0,0.1659506880443086,0.06630115391313099,0.2713775285790761,0.269015662436646,0.11889185178148128,0.10846311524535693
1,0.1659506880443086,0.06630115391313099,0.2713775285790761,0.269015662436646,0.11889185178148128,0.10846311524535693
1,0.050427710687210865,0.2526473924284299,0.2641168434676442,0.07469812804252235,0.043989539971855736,0.31412038540233705
1,0.037011261548396915,0.18542976853915713,0.19384773648662046,0.16047075689560567,0.192692795832955,0.23054768069726475
1,0.28564242723014166,0.09878194293191295,0.37756210561349135,0.11717287284024235,0.06900281049196906,0.0518378408922427
1,0.1672841595761305,0.25467750215176166,0.2735581414647531,0.07529835349743878,0.11984718918673425,0.1093346541231818
1,0.05002891540006029,0.06577682736027189,0.2620281396380116,0.26688821748847324,0.04364165939219764,0.31163624072098545
2,0.1672841595761305,0.25467750215176166,0.2735581414647531,0.07529835349743878,0.11984718918673425,0.1093346541231818
2,0.28564242723014166,0.09878194293191295,0.37756210561349135,0.11717287284024235,0.06900281049196906,0.0518378408922427
2,0.050427710687210865,0.2526473924284299,0.2641168434676442,0.07469812804252235,0.043989539971855736,0.31412038540233705
2,0.050427710687210865,0.2526473924284299,0.2641168434676442,0.07469812804252235,0.043989539971855736,0.31412038540233705
2,0.1876100567406629,0.28562214587638673,0.30679688125949556,0.08444749585332945,0.07738701156442737,0.05813640870569789
2,0.2577206633760926,0.08912593310755036,0.34065512349810834,0.10571913567216477,0.10813203556794991,0.09864710877813415
3,0.2577206633760926,0.08912593310755036,0.34065512349810834,0.10571913567216477,0.10813203556794991,0.09864710877813415
3,0.050427710687210865,0.2526473924284299,0.2641168434676442,0.07469812804252235,0.043989539971855736,0.31412038540233705
3,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
3,0.23868572537905708,0.23586732837991978,0.2533534663985283,0.06973690773935848,0.11099542004488865,0.09136115205824782
3,0.149781254110633,0.2262129503570227,0.23648235521261043,0.06688247904807655,0.039386923910962574,0.2812540373606947
3,0.05710024222423173,0.28837611035188176,0.30975501221810475,0.0852617373502939,0.13570521919789238,0.12380167865759557
4,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
4,0.050427710687210865,0.2526473924284299,0.2641168434676442,0.07469812804252235,0.043989539971855736,0.31412038540233705
4,0.050427710687210865,0.2526473924284299,0.2641168434676442,0.07469812804252235,0.043989539971855736,0.31412038540233705
4,0.050427710687210865,0.2526473924284299,0.2641168434676442,0.07469812804252235,0.043989539971855736,0.31412038540233705
4,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
4,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
5,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
5,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
5,0.18939124335978183,0.1009041820194447,0.385673679801256,0.07782535536916953,0.12242199569360981,0.12378354375673803
5,0.04847967012284905,0.24288753297370277,0.2539139150024292,0.11044287148395375,0.04229020825314412,0.3019858021639211
5,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
5,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
6,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
6,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
6,0.15363815163093447,0.08185559027060563,0.3128665837247931,0.09709522191370115,0.09931129234737657,0.2552331601125891
6,0.05935144214786984,0.2973560943215503,0.310855189373557,0.13521015470843892,0.05177396715360207,0.14545315229498187
6,0.15861691668192093,0.21193672843068342,0.32300527125868356,0.10024166888894824,0.10252955282668227,0.10366986191308168
6,0.056770286111381345,0.11341204957335355,0.29733629716995574,0.12932995206482453,0.04952235062980252,0.3536290644506823
7,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
7,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
7,0.056770286111381345,0.11341204957335355,0.29733629716995574,0.12932995206482453,0.04952235062980252,0.3536290644506823
7,0.056770286111381345,0.11341204957335355,0.29733629716995574,0.12932995206482453,0.04952235062980252,0.3536290644506823
7,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
7,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
8,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
8,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
8,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
8,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
8,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
8,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
9,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
9,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
9,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
9,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
9,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
9,0.1817810054257187,0.09684958678004804,0.370176297683026,0.11488075633651462,0.11750275814564479,0.11880959562904791
